频道名,地址,跳过原因
维护内容：维护 Gather「删除 •IPV6 源」,https://material.1989.click/v/302.mp4,重复URL
公告说明：IPV6 暂无,https://material.1989.click/v/301.mp4,重复URL
CCTV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd,重复URL
象山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8,重复URL
普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8,重复URL
数码时代,http://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8?zzhed,重复URL
嵊州新闻综合,https://stream1.freetv.fun/sheng-zhou-xin-wen-zong-he-1.m3u8,重复URL
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed,重复URL
涟水电视台综合,rtmp://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw,无效URL（非 http/https/rtsp 开头）
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8,重复URL
长沙新闻,http://ls.qingting.fm/live/4877.m3u8,重复URL
田东综合,http://pulls.myun.tv/live/0dkp33j5.m3u8,重复URL
松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],重复URL
汶川新闻综合,rtmp://live.iwcmt.cn:1936/live/zhxw,无效URL（非 http/https/rtsp 开头）
甘孜综合,https://m3u8channel.ganzitv.com/nmip-media/channellive/channel1/playlist.m3u8,重复URL
石棉综合,http://live.hyxrmt.com:85/live/xwpd.m3u8,重复URL
陕西农林,https://live.chinacert.cftest5.cn/cnmg/live/956904896,重复URL
邯郸科教,https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8,重复URL
济南新闻综合,https://stream1.freetv.fun/ji-nan-zong-he-2.m3u8,重复URL
亳州新闻,http://zbbf2.ahbztv.com/live/416.m3u8?zanhd,重复URL
内蒙古经济生活,https://ls.qingting.fm/live/1885/64k.m3u8,重复URL
西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8,重复URL
西宁新闻综合,rtmp://liveout.xntv.tv/a65jur/96iln2,无效URL（非 http/https/rtsp 开头）
西宁新闻综合,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqinghd,重复URL
西宁生活服务,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqinghd,重复URL
凤凰卫视,https://7612-5516-affc-d88b.kylintv.tv/live/pxinhd_iphone.m3u8,重复URL
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8,重复URL
香港卫视,https://stream1.freetv.fun/5335c88a9a7d8b74173b491f480d4f94e8d3bd596af54478106aa2399e6c7917.ctv,重复URL
香港卫视,https://stream1.freetv.fun/c751876ae5ceaa0d82b5cf2badc152342aa92a4b45bf504d12ee45966b2fc644.ctv,重复URL
香港卫视,https://stream1.freetv.fun/5335c88a9a7d8b74173b491f480d4f94e8d3bd596af54478106aa2399e6c7917.m3u8,重复URL
香港卫视,https://stream1.freetv.fun/ae7eaf28d8610cdc1651ef6a1f7dbb24b49c5a87627d0d881330afaea37a1616.m3u8,重复URL
东森电影,https://hls-gateway.vpstv.net/streams/476995.m3u8,重复URL
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-8.ctv,重复URL
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport,重复URL
纬来体育,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8,重复URL
纬来体育,https://epg.pw/stream/ab6df63b64d0cc44a1f4f029ed847a26fa54a7aebd455578fb05a63f02c22f4b.m3u8,重复URL
纬来体育,https://epg.pw/stream/4f18dfe0593db5c686eb64ae8edaf2a9202d4d46bdc9bbde2cee27708e12ea01.m3u8,重复URL
纬来体育,https://hls-gateway.vpstv.net/streams/477026.m3u8,重复URL
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-34.ctv,重复URL
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-38.ctv,重复URL
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-32.ctv,重复URL
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-2.m3u8,重复URL
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-33.ctv,重复URL
山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-8.m3u8,重复URL
山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-19.m3u8,重复URL
山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-4.m3u8,重复URL
山东体育,http://livealone302.iqilu.com/iqilu/typd.m3u8,重复URL
山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-7.m3u8,重复URL
江苏体育,https://stream1.freetv.fun/af1087a1c24fff7af556ac8e6c5c623303d52966f67a998cefb52c17811b09a2.ctv,重复URL
江苏体育,https://live.chinacert.cftest5.cn/cnmg/live/626064707,重复URL
安徽综艺体育,https://live.lalifeier.eu.org/ahtv/ahzyty.m3u8?t=1745774515&key=27009aec794adc785b22478c5aa2ae16,重复URL
