频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
Kish,https://ncdn.telewebion.com/kish/live/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/fa/thumb/1/14/Kish_tv.svg/320px-Kish_tv.svg.png,20.002,未分组,,,,无音频,timeout
Midpen Media Center Government etc Channel 26 (720p),https://5c2974786200d.streamlock.net/live-chan26/ngrp:ch26_all/playlist.m3u8,网络源,https://i.imgur.com/aX1GkCD.png,20.001,未分组,,,,无音频,timeout
Kan Kids (720p),https://kan23.media.kan.org.il/hls/live/2024691/2024691/master.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/KanHinuchit.svg/512px-KanHinuchit.svg.png,20.001,未分组,,,,无音频,timeout
Metro Globe Network (1080p) [Not 24/7],https://edge.medcom.id/live-edge/smil:mgnch.smil/playlist.m3u8,网络源,https://i.imgur.com/aiiinzg.png,20.002,未分组,,,,无音频,timeout
Khavaran,https://ncdn.telewebion.com/khavaran/live/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/fa/8/86/KHAVARAN_tv.png,20.001,未分组,,,,无音频,timeout
Kanal 32 (720p) [Not 24/7],https://edge1.socialsmart.tv/kanal32/bant1/playlist.m3u8,网络源,https://www.lyngsat.com/logo/tv/kk/kanal-32-tr.png,20.001,未分组,,,,无音频,timeout
Mazhavil Manorama HD (1080p),https://cdn-7.pishow.tv/live/1129/master.m3u8,网络源,https://i.imgur.com/fjgzW20.png,20.003,未分组,,,,无音频,timeout
LA7 HD,https://viamotionhsi.netplus.ch/live/eds/la7/browser-dash/la7.mpd,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/LA7_-_Logo_2011.svg/512px-LA7_-_Logo_2011.svg.png,20.002,未分组,,,,无音频,timeout
LCI HD,https://viamotionhsi.netplus.ch/live/eds/lci/browser-dash/lci.mpd,网络源,https://i.imgur.com/DED8EXs.png,20.001,未分组,,,,无音频,timeout
Khorasan Razavi,https://ncdn.telewebion.com/khorasanrazavi/live/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/fa/b/bd/%D9%84%D9%88%DA%AF%D9%88_%D8%B4%D8%A8%DA%A9%D9%87_%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86_%D8%B1%D8%B6%D9%88%DB%8C.png,20.002,未分组,,,,无音频,timeout
Karoon TV,https://ncdn.telewebion.com/karoon/live/playlist.m3u8,网络源,https://static.telewebion.com/channelsLogo/448a8dca-ab58-4533-8d71-ad74b8812c79/default,20.004,未分组,,,,无音频,timeout
Mahabad,https://ncdn.telewebion.com/mahabad/live/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/fa/c/cb/Mahabad_tv.png,20.011,未分组,,,,无音频,timeout
Makan 33 (1080p),https://makan.media.kan.org.il/hls/live/2024680/2024680/master.m3u8,网络源,https://i.imgur.com/RVtQTed.png,20.002,未分组,,,,无音频,timeout
Magna Channel (1080p) [Not 24/7],https://edge.medcom.id/live-edge/smil:magna.smil/playlist.m3u8,网络源,https://i.imgur.com/tfJo0SO.png,20.002,未分组,,,,无音频,timeout
KVF (720p) [Not 24/7],https://w-live-edge1.kringvarp.fo/uttanlands/_definst_/smil:uttanlands.smil/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/KVF_logo_2019.svg/512px-KVF_logo_2019.svg.png,20.002,未分组,,,,无音频,timeout
Kanal 68 (720p) [Not 24/7],https://live.artidijitalmedya.com/artidijital_kanal68/kanal68/playlist.m3u8,网络源,https://i.imgur.com/5y7K9SS.png,20.001,未分组,,,,无音频,timeout
Kronehit (1080p),https://bitcdn-kronehit.bitmovin.com/v2/hls/playlist.m3u8,网络源,https://i.imgur.com/dQJQv1X.png,20.001,未分组,,,,无音频,timeout
KHL Prime,http://194.143.148.28:8080/KHL_HD/index.m3u8,网络源,https://i.imgur.com/pwxT0ON.png,20.002,未分组,,,,无音频,timeout
Labbayk TV,https://ncdn.telewebion.com/labbayk/live/playlist.m3u8,网络源,https://static.telewebion.com/channelsLogo/ZDVlODRiYjI3NWUyOTFmOGJmYjIwOTQyMDAyMzRkMmUzYjVmOGUyMTBhNTE0MGI5ZDAyOTMzZDdmZDQyNDM5OA/default,20.003,未分组,,,,无音频,timeout
