频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
NRK 1 (Vestlandsrevyen) (1080i) [Geo-blocked],https://nrk-live-no.akamaized.net/nrk1_dk6/muxed.m3u8,网络源,,0.108,未分组,,error,0.0
SuperTennis,https://uvotv-aniview.global.ssl.fastly.net/10010/live/hls/supertennis/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/it/thumb/6/6a/SuperTennis_-_Logo_2016.svg/512px-SuperTennis_-_Logo_2016.svg.png,0.098,未分组,,error,0.0
VTV (1080p) [Not 24/7],https://vtvstream.vnews.mv/vtvlive/vmedia/playlist.m3u8,网络源,https://i.imgur.com/6bY9Umo.png,0.244,未分组,,error,0.0
8 Out of 10 Cats (1080p) [Geo-blocked],https://amg00627-amg00627c37-samsung-nz-4295.playouts.now.amagi.tv/playlist.m3u8,网络源,,0.237,未分组,,error,0.0
NRK 2 (1080i) [Geo-blocked],https://nrk-live-no.akamaized.net/nrk2/muxed.m3u8,网络源,https://i.imgur.com/SiAdoK9.png,0.098,未分组,,error,0.0
9 la Loma TV (1080p) [Geo-blocked],https://9laloma.tv/live.m3u8,网络源,https://i.imgur.com/WQP3el2.png,0.163,未分组,,error,0.0
VTM (720p),https://dpp-live-events.medialaancdn.be/events/hls/aes/webstream1.m3u8,网络源,https://i.imgur.com/N3nwyDd.png,2.489,未分组,,ok; 伪源相似度: 1.0000,1.0
VTV1 (576p),http://125hvt.ddns.net:21585/vtv1/tracks-v1a1/mono.m3u8,网络源,https://i.imgur.com/vZYlGIW.png,0.601,未分组,,error,0.0
NRK 3 (1080i) [Geo-blocked],https://nrk-live-no.akamaized.net/nrk3/muxed.m3u8,网络源,https://i.imgur.com/TNhV2I7.png,0.113,未分组,,error,0.0
CCTV14,https://www.freetv.top/migu/624878440.m3u8?migutoken=85e854e85508f09545d95114a17c9609e15d0861306d1ddf01f1bcbe68f219f42ea58ab68946b738d64e5ce4933ecf5e23d08385f008f3c5b8552da1a620dc66ffa5cd7fb95a830ab4db88db85,网络源,,14.200,未分组,,ok; 伪源相似度: 1.0000,1.0
å¡é…·å°‘å„¿,http://111.43.126.240:9003/hls/71/index.m3u8,网络源,,0.530,未分组,,error,0.0
æµ·å—å°‘å„¿,https://stream1.freetv.fun/hai-nan-shao-er-4.ctv,网络源,,1.462,未分组,,ok; 伪源相似度: 1.0000,1.0
NRK Super (1080i) [Geo-blocked],https://nrk-live-no.akamaized.net/nrksuper/muxed.m3u8,网络源,https://i.imgur.com/xIATe2T.png,0.132,未分组,,error,0.0
å¡é…·å°‘å„¿,https://migu.188766.xyz/?migutoken=c6e99617f4b10845b9739303b78eacc3&id=%E5%8C%97%E4%BA%AC%E5%8D%A1%E9%85%B7%E5%B0%91%E5%84%BF&type=yy,网络源,,6.998,未分组,,ok; 伪源相似度: 1.0000,1.0
CCTV15,https://migu.188766.xyz/?migutoken=1c9078a4cf557d46bb52a3726dad3c14&id=CCTV15&type=yy,网络源,,0.729,未分组,,ok; 伪源相似度: 1.0000,1.0
å¹¿è¥¿å«è§†,http://111.43.126.240:9003/hls/62/index.m3u8,网络源,,0.530,未分组,,error,0.0
NRK Tegnspråk (1080i) [Geo-blocked],https://nrk-live-no.akamaized.net/nrk_tegnspraak/muxed.m3u8,网络源,,0.096,未分组,,error,0.0
8TV,http://cdn6.163189.xyz/163189/8tv,网络源,https://i.imgur.com/Jkx9W88.png,1.222,未分组,,error,0.0
CCTV15,https://stream1.freetv.fun/e1fcc9c1398db0b514abbe6289dd1403355081cbc3a9d20d2a3e29b82e476db5.m3u8,网络源,,1.586,未分组,,ok; 伪源相似度: 1.0000,1.0
Visión Sur TV (1080p) [Not 24/7],https://ott1.hdlatam.tv/live_abr/webtvVisionSur/playlist.m3u8,网络源,https://i.imgur.com/AbZYWEQ.png,5.362,未分组,,error,0.0
VTV4 (576p),http://125hvt.ddns.net:21585/vtv4/tracks-v1a1/mono.m3u8,网络源,https://i.imgur.com/WsLLmR2.png,0.640,未分组,,error,0.0
