频道名,地址,来源,图标,检测时间,分组,状态,状态码
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8,网络源,,,未分组,失败(404),404
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8,网络源,,,未分组,失败(None),
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8,网络源,,,未分组,失败(None),
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8,网络源,,,未分组,失败(404),404
古装武侠,http://www.douzhicloud.site:35455/douyu/2793084,网络源,,,未分组,失败(None),
CCTV-8K 超高清,https://tv.cry33.com/ys4k.php?id=8k,网络源,,,未分组,失败(404),404
橙记港剧,http://www.douzhicloud.site:35455/douyu/4549169,网络源,,,未分组,失败(None),
斗鱼港剧,http://www.douzhicloud.site:35455/douyu/5061550,网络源,,,未分组,失败(None),
冰冰影剧,http://www.douzhicloud.site:35455/douyu/74374,网络源,,,未分组,失败(None),
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8,网络源,,,未分组,失败(None),
欢乐一起看,https://yylunbo.ottiptv.cc/yy/1354930926,网络源,,,未分组,失败(None),
上海卫视,http://genglei.8866.org:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,,未分组,失败(None),
大江大河高分影视推荐,https://yylunbo.ottiptv.cc/yy/1382736806,网络源,,,未分组,失败(None),
大进军全集红色系列电影,https://yylunbo.ottiptv.cc/yy/1382745083,网络源,,,未分组,失败(None),
YY果国际电影频道,https://yylunbo.ottiptv.cc/yy/1382627144,网络源,,,未分组,失败(None),
大江大河2高分影视推荐,https://yylunbo.ottiptv.cc/yy/1382736797,网络源,,,未分组,失败(None),
大家都在看的电视剧,https://yylunbo.ottiptv.cc/yy/1354930964,网络源,,,未分组,失败(None),
欧美配音电影,https://yylunbo.ottiptv.cc/yy/1354693629,网络源,,,未分组,失败(None),
民间怪谈盗暮,https://yylunbo.ottiptv.cc/yy/1355171231,网络源,,,未分组,失败(None),
哑巴竟然会说话,https://yylunbo.ottiptv.cc/yy/1354932427,网络源,,,未分组,失败(None),
悬疑武侠电影九门,https://yylunbo.ottiptv.cc/yy/1382828768,网络源,,,未分组,失败(None),
国内经典动作电影,https://yylunbo.ottiptv.cc/yy/1382851522,网络源,,,未分组,失败(None),
朵宝陪你看狄仁杰,https://yylunbo.ottiptv.cc/yy/1353753252,网络源,,,未分组,失败(None),
1930年代经典电影,https://yylunbo.ottiptv.cc/yy/1356363815,网络源,,,未分组,失败(None),
林正英经典电影,https://yylunbo.ottiptv.cc/yy/34229877,网络源,,,未分组,失败(None),
怪医文三块影视剧,https://yylunbo.ottiptv.cc/yy/1354936154,网络源,,,未分组,失败(None),
国内玄幻电影林正英,https://yylunbo.ottiptv.cc/yy/1354932444,网络源,,,未分组,失败(None),
国产大片电影,https://yylunbo.ottiptv.cc/yy/1354926655,网络源,,,未分组,失败(None),
人生必看的科幻片,https://yylunbo.ottiptv.cc/yy/1382745114,网络源,,,未分组,失败(None),
晨晨的影视小窝,https://yylunbo.ottiptv.cc/yy/1382851576,网络源,,,未分组,失败(None),
8090电影一哥,https://yylunbo.ottiptv.cc/yy/29197808,网络源,,,未分组,失败(None),
夏洛特烦恼国内电影喜剧,https://yylunbo.ottiptv.cc/yy/1354936201,网络源,,,未分组,失败(None),
新白娘子4K观看,https://yylunbo.ottiptv.cc/yy/1508961855,网络源,,,未分组,失败(None),
岳云鹏宋小宝也来演电影了,https://yylunbo.ottiptv.cc/yy/1354926612,网络源,,,未分组,失败(None),
新三国萌儿陪看,https://yylunbo.ottiptv.cc/yy/29216766,网络源,,,未分组,失败(None),
史诗级科幻电影阿凡达,https://yylunbo.ottiptv.cc/yy/1382735577,网络源,,,未分组,失败(None),
90年代爱情经典必看,https://yylunbo.ottiptv.cc/yy/1382736893,网络源,,,未分组,失败(None),
影视小艺,https://yylunbo.ottiptv.cc/yy/1382737886,网络源,,,未分组,失败(None),
来看修牛蹄,https://yylunbo.ottiptv.cc/yy/1382749887,网络源,,,未分组,失败(None),
奇幻冒险电影凯斯宾王子的魔法征途,https://yylunbo.ottiptv.cc/yy/1354926671,网络源,,,未分组,失败(None),
梅艳芳主演喜剧电影,https://yylunbo.ottiptv.cc/yy/1382735627,网络源,,,未分组,失败(None),
