频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
é‡‘é¹°çºªå®,https://stream1.freetv.fun/jin-ying-ji-shi-42.m3u8,网络源,,2.359,未分组,h264,1280x720,25.0,有音频,0.0
æ²³å—æ°‘ç”Ÿ,https://stream1.freetv.fun/he-nan-min-sheng-8.ctv,网络源,,2.372,未分组,h264,1280x720,25.0,有音频,0.5156
æµ™æ±Ÿå°‘å„¿,https://stream1.freetv.fun/zhe-jiang-shao-er-2.m3u8,网络源,,2.374,未分组,h264,1280x720,25.0,有音频,0.5
ä¹‹æ±Ÿè®°å½•,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8?,网络源,,2.576,未分组,h264,1920x1080,25.0,有音频,0.8125
è‹å·ç¤¾ä¼šç»æµ,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8,网络源,,2.900,未分组,h264,1920x1080,25.0,有音频,0.4531
æµ™æ±Ÿç”Ÿæ´»,https://stream1.freetv.fun/zhe-jiang-sheng-huo-8.m3u8,网络源,,2.985,未分组,h264,640x360,25.0,有音频,0.4531
è±¡å±±ç»¼åˆ,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8?zzhed,网络源,,3.265,未分组,h264,1280x720,25.0,有音频,0.6094
ç¦¹å·ç»¼åˆ,http://live.dxhmt.cn:9081/tv/11081-1.m3u8,网络源,,3.303,未分组,h264,1920x1080,25.0,有音频,0.5156
æ¹–å·æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/hu-zhou-xin-wen-zong-he-2.m3u8,网络源,,3.538,未分组,h264,1280x720,29.97002997002997,有音频,0.5625
ä¸Šè™æ–°å•†éƒ½,https://stream1.freetv.fun/shang-yu-xin-shang-du-7.m3u8,网络源,,3.778,未分组,h264,1920x1080,25.0,有音频,0.5156
åµŠå·æ–°é—»,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed?,网络源,,4.368,未分组,h264,1280x720,25.0,有音频,0.5
æ±Ÿå¤æ–°é—»ç»¼åˆ,http://59.175.226.142:280/gb28181/xwzh.m3u8?zhubd,网络源,,4.655,未分组,h264,720x576,25.0,有音频,0.8906
å“ˆå°”æ»¨å½±è§†,https://stream1.freetv.fun/ha-er-bin-ying-shi-8.m3u8,网络源,,2.429,未分组,h264,640x480,25.0,有音频,0.4375
å—äº¬å°‘å„¿,https://stream1.freetv.fun/nan-jing-shao-er-1.m3u8,网络源,,4.339,未分组,h264,1280x720,25.0,有音频,0.5
å¤ªè°·æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/tai-gu-xin-wen-zong-he-3.m3u8,网络源,,5.893,未分组,h264,1920x1080,25.0,有音频,0.4531
è‹å·ç”Ÿæ´»èµ„è®¯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8,网络源,,1.711,未分组,h264,1280x720,25.0,有音频,0.5
