频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
[BD]i24 news,https://stream1.freetv.fun/i24-news-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/05/19/20140519005716402930_82.png,1.304,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.5573,0.0729
[HD]湖北卫视 *wj,https://stream1.freetv.fun/hu-bei-wei-shi---wj-1.m3u8,网络源,https://epg.pw/media/images/channel/2017/01/08/large/20170108220858481970_23.jpg,2.280,未分组,h264,1280x720,50.0,有音频,0.5729,False,False,0.4942,0.0313
[BD]江西卫视 4m1080,https://stream1.freetv.fun/jiang-xi-wei-shi--4m1080-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/31/large/20220531144408646863_42.jpg,2.254,未分组,h264,1280x720,25.0,有音频,0.0,False,False,0.0,0.0
[BD]深圳卫视 8m1080,https://stream1.freetv.fun/shen-zhen-wei-shi--8m1080-2.m3u8,网络源,https://epg.pw/media/images/channel/2023/12/26/large/20231226201559401791_78.png,2.171,未分组,h264,1280x720,25.0,有音频,0.5781,False,False,0.0,0.0
[BD]辽宁卫视 8m1080,https://stream1.freetv.fun/liao-zhu-wei-shi--8m1080-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/31/large/20220531155536893321_81.jpg,2.363,未分组,h264,1280x720,25.0,有音频,0.5104,False,False,0.0,0.0
[BD]岭南戏曲[geo-blocked],https://stream1.freetv.fun/ling-nan-xi-qu-9.ctv,网络源,https://epg.pw/media/images/channel/2024/01/14/large/20240114131157979340_60.png,1.607,未分组,h264,1280x720,25.0,有音频,1.0,False,False,0,0
[BD]россия 24,https://stream1.freetv.fun/rossiia-24-6.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174957550925_86.png,1.450,未分组,h264,1920x1080,25.0,有音频,0.5625,False,False,0.5208,0.0568
[BD]nowsports,https://stream1.freetv.fun/nowsports-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/22/large/20230722205957773276_84.png,2.820,未分组,h264,1920x1080,50.0,有音频,0.5885,False,False,0.4837,0.0487
[VGA]himlen tv7,https://stream1.freetv.fun/himlen-tv7-4.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/11/26/20161126095704433134_49.png,3.129,未分组,h264,640x360,25.0,有音频,0.5417,False,False,0.5243,0.0449
[HD]翡翠,https://stream1.freetv.fun/fei-cui-3.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720173151124119_90.png,1.126,未分组,h264,1280x720,25.0,有音频,0.5417,False,False,0.5295,0.0373
